n_samples,n_hidden,activation,training_time,val_loss,val_accuracy,val_precision,val_recall,test_loss,test_accuracy,test_precision,test_recall,val_f1,test_f1
30000,96,sigmoid,501.8886048793793,0.16030291229486465,0.935949555238088,0.6643835611887784,0.6258064512091571,0.16376630316135296,0.9347756884268206,0.6521739120982988,0.5357142850765306,0.6445182719969977,0.588235293348712
30000,64,sigmoid,442.3823289871216,0.16512991040945052,0.9368072096506754,0.8378378370830291,0.5999999996129033,0.16814429453243393,0.936162289250167,0.7878787866850322,0.6190476183106577,0.6992481197750015,0.6933333324088891
30000,32,sigmoid,383.55087089538574,0.16609993994235991,0.9340936930974325,0.6178343945109336,0.6258064512091571,0.16950295200129914,0.931801103749498,0.605263157098338,0.5476190469671203,0.6217948713962853,0.5749999992812501
30000,16,sigmoid,289.29172682762146,0.17131993552049002,0.9294522587458293,0.5670103086938039,0.35483870944849116,0.17545378267525874,0.9270526083091776,0.5098039205690119,0.30952380915532884,0.43650793616150163,0.3851851846145405
15000,96,sigmoid,273.81542015075684,0.17528318226337433,0.931596405506134,0.4807692298446746,0.2873563215087859,0.18418059882665985,0.9257511762535378,0.4411764692906574,0.17857142835884354,0.35971222969825584,0.2542372877046825
15000,16,sigmoid,190.7667429447174,0.1775033752123515,0.9288720711072286,0.4999999989583333,0.27586206864843443,0.185246720632464,0.925789934169532,0.6279069752839372,0.3214285710459184,0.3555555550288066,0.42519684972409943
15000,32,sigmoid,146.06360602378845,0.1778132345279058,0.9282738820711771,0.6666666592592594,0.06896551716210861,0.18562894588505582,0.9256350008386977,0.38461538165680476,0.05952380945294785,0.12499999973958334,0.10309278329259221
15000,64,sigmoid,258.75462198257446,0.1752951333920161,0.9304216225941976,0.499999999,0.2873563215087859,0.18587928023386835,0.927277257173237,0.553191488184699,0.30952380915532884,0.36496350311684156,0.3969465642794709
7500,96,sigmoid,209.53445601463318,0.19748786648114522,0.9206198048591614,0.5925925903978052,0.33333333263888887,0.19014371246500936,0.9240780060870082,0.49999999886363633,0.26190476159297055,0.4266666655288889,0.3437499994628906
7500,64,sigmoid,147.15897393226624,0.19755124688148498,0.9203315456708272,0.64999999675,0.2708333327690972,0.19158669830000685,0.9223815264555608,0.6923076896449704,0.21428571403061225,0.3823529400519031,0.327272726677686
3750,64,sigmoid,93.9478030204773,0.20040474704969158,0.9151731664692161,0.6666666444444451,0.11764705813148789,0.20658032197636567,0.9143717932509775,0.4482758605231867,0.15476190457766442,0.19999999799999998,0.23008849516798496
